Year,Tm,MP_SUM,OBPM_SUM,DBMP_SUM,OWS_SUM,DWS_SUM,WS_SUM,WS/48_SUM,3P_SUM,3PA_SUM,2P_SUM,2PA_SUM,FG_SUM,FGA_SUM,FT_SUM,FTA_SUM,ORB_SUM,DRB_SUM,TRB_SUM,STL_SUM,BLK_SUM,TOV_SUM,PTS_SUM,dbpm_tot,obpm_tot,POSS_TOT,pts_per_min,2ft_pct,3fg_pct,ts_pct,dbpm_norm,obpm_norm,off_rat,TEAM,games_tot,wins_tot,losses_tot
2004.0,MEM,19880.0,-32.9,-0.3999999999999997,25.599999999999998,22.1,48.0,0.5549999999999999,447.0,1314.0,2516.0,5343.0,2963.0,6657.0,1557.0,2143.0,1047.0,2381.0,3428.0,795.0,565.0,1180.0,7930.0,6456.100000000001,8997.900000000001,7724.348,0.39889336016096577,0.47089650009358036,0.3401826484018265,0.521716018063348,0.32475352112676065,0.4526106639839035,102.66238652116658,Memphis,82,50,32
2004.0,MIA,19755.0,-57.0,-20.5,20.7,23.299999999999997,44.1,0.8119999999999999,485.0,1357.0,2244.0,5060.0,2729.0,6417.0,1459.0,1915.0,940.0,2459.0,3399.0,590.0,313.0,1076.0,7402.0,3567.5,-4522.5,7387.94,0.37468995191090865,0.4434782608695652,0.3574060427413412,0.5098077029037412,0.18058719311566693,-0.22892938496583143,100.19031015411603,Miami,82,42,40
2004.0,MIL,19780.0,-4.3,-12.9,30.0,14.0,44.1,1.449,401.0,1145.0,2569.0,5505.0,2970.0,6650.0,1698.0,2192.0,960.0,2502.0,3462.0,554.0,383.0,1066.0,8039.0,-14598.500000000002,17208.300000000003,7711.7119999999995,0.4064206268958544,0.4666666666666667,0.3502183406113537,0.5278758365640202,-0.7380434782608697,0.8699848331648131,104.24403815910138,Milwaukee,82,41,41
2004.0,MIN,19755.0,-27.5,2.7,30.6,28.200000000000003,58.6,1.554,326.0,897.0,2707.0,5674.0,3033.0,6571.0,1361.0,1743.0,875.0,2645.0,3520.0,561.0,462.0,1004.0,7753.0,18553.0,12513.400000000001,7459.948,0.39245760566945076,0.47708847373986607,0.3634336677814939,0.528283219222886,0.9391546443938243,0.633429511516072,103.9283383744766,Minnesota,82,58,24
2004.0,NJN,19705.0,-84.10000000000001,-11.899999999999999,16.8,31.9,49.0,0.563,377.0,1123.0,2436.0,5249.0,2813.0,6372.0,1398.0,1856.0,862.0,2473.0,3335.0,709.0,322.0,1157.0,7401.0,20252.2,-10449.199999999999,7476.216,0.37558995178888605,0.46408839779005523,0.3357079252003562,0.5147705268312226,1.0277696016239533,-0.5302816544024359,98.993929549387,New Jersey,82,47,35
2004.0,NOH,19830.0,-48.1,-16.7,21.299999999999997,21.6,42.9,0.514,531.0,1666.0,2241.0,4939.0,2772.0,6605.0,1454.0,1937.0,1091.0,2418.0,3509.0,708.0,346.0,1155.0,7529.0,-1195.5,-2310.2,7513.532,0.37967725668179525,0.4537355740028346,0.3187274909963986,0.5048087238242362,-0.060287443267776096,-0.11650025214321734,100.20586855822268,New Orleans,82,41,41
2004.0,NYK,19880.0,-20.6,-18.1,18.7,19.4,37.7,2.011,406.0,1115.0,2475.0,5398.0,2881.0,6513.0,1374.0,1732.0,950.0,2543.0,3493.0,608.0,391.0,1253.0,7542.0,-3873.7000000000007,-6440.5999999999985,7571.152,0.37937625754527166,0.45850314931456093,0.36412556053811657,0.5183448154522012,-0.19485412474849098,-0.32397384305835003,99.61495952003077,New York,82,39,43
2004.0,ORL,19830.0,-44.4,-44.4,21.3,1.5,22.7,0.547,429.0,1248.0,2475.0,5520.0,2904.0,6768.0,1474.0,2000.0,1003.0,2350.0,3353.0,547.0,308.0,1063.0,7711.0,-38673.1,576.1000000000001,7700.0,0.3888552697932426,0.4483695652173913,0.34375,0.5041187238493724,-1.9502319717599597,0.02905194150277358,100.14285714285714,Orlando,82,21,61
2004.0,PHI,19855.0,-20.1,-3.5999999999999996,13.3,22.8,36.1,1.1,339.0,992.0,2343.0,5268.0,2682.0,6260.0,1512.0,2009.0,941.0,2408.0,3349.0,654.0,358.0,1207.0,7215.0,832.5000000000005,-16649.2,7401.924,0.3633845378997734,0.4447608200455581,0.34173387096774194,0.5049720323182101,0.041928985142281563,-0.8385394107277764,97.47465658928678,Philadelphia,82,33,49
2004.0,PHO,19730.0,-70.1,-6.6000000000000005,18.5,13.700000000000001,32.199999999999996,0.18900000000000003,415.0,1202.0,2543.0,5469.0,2958.0,6671.0,1392.0,1865.0,924.0,2406.0,3330.0,734.0,383.0,1203.0,7723.0,-8775.400000000001,-5892.999999999998,7763.14,0.3914343639128231,0.4649844578533553,0.3452579034941764,0.5154439639062416,-0.44477445514445013,-0.2986822098327419,99.48294118101695,Phoenix,82,29,53
2004.0,POR,19980.0,-45.5,-39.2,24.7,14.6,39.6,1.037,381.0,1102.0,2517.0,5365.0,2898.0,6467.0,1263.0,1728.0,1040.0,2376.0,3416.0,613.0,443.0,1134.0,7440.0,-8236.9,4743.1,7314.408,0.37237237237237236,0.46915191053122085,0.3457350272232305,0.5147136144518301,-0.41225725725725726,0.2373923923923924,101.71704941808004,Portland,82,41,41
2004.0,SAC,19780.0,-3.7,-8.1,38.8,15.1,53.900000000000006,1.173,601.0,1498.0,2502.0,5213.0,3103.0,6711.0,1626.0,2044.0,888.0,2492.0,3380.0,710.0,325.0,1107.0,8433.0,-6433.5999999999985,34708.899999999994,7821.184,0.42633973710819006,0.4799539612507194,0.40120160213618156,0.5540473775222198,-0.3252578361981799,1.7547472194135487,107.82254962931444,Sacramento,82,55,27
2004.0,SAS,19755.0,-56.699999999999996,23.1,20.3,42.0,62.4,1.1560000000000001,408.0,1140.0,2434.0,5294.0,2842.0,6434.0,1409.0,2069.0,1029.0,2669.0,3698.0,661.0,537.0,1155.0,7501.0,45871.700000000004,-5504.6,7462.084,0.37970134143254874,0.45976577257272383,0.35789473684210527,0.5106639652740335,2.3220298658567455,-0.27864338142242473,100.52151650932903,San Antonio,82,57,25
2004.0,SEA,19805.0,6.2,-26.1,32.6,7.3,40.0,1.418,723.0,1936.0,2216.0,4654.0,2939.0,6590.0,1363.0,1782.0,907.0,2318.0,3225.0,661.0,387.0,1128.0,7964.0,-21789.5,21934.600000000002,7587.952,0.402120676596819,0.4761495487752471,0.3734504132231405,0.5399995660475612,-1.1002019691996971,1.1075284019187075,104.95585633646601,Seattle,82,37,45
2004.0,TOR,19980.0,-66.7,-6.100000000000001,7.3,26.6,34.2,1.3579999999999999,461.0,1294.0,2193.0,5054.0,2654.0,6348.0,1237.0,1650.0,830.0,2419.0,3249.0,604.0,402.0,1090.0,7006.0,10385.5,-29280.2,7327.4,0.35065065065065065,0.43391373169766523,0.3562596599690881,0.49519366694939215,0.5197947947947948,-1.4654754754754755,95.61372383109972,Toronto,82,33,49
2004.0,UTA,19780.0,-24.5,-7.199999999999999,21.0,19.0,39.9,1.431,252.0,786.0,2438.0,5386.0,2690.0,6172.0,1639.0,2196.0,1103.0,2272.0,3375.0,583.0,494.0,1255.0,7271.0,-672.3000000000002,-2356.999999999999,7281.456,0.36759352881698687,0.45265503156331227,0.32061068702290074,0.5092992110099969,-0.03398887765419617,-0.11916076845298276,99.85640234590444,Utah,82,42,40
2004.0,WAS,19830.0,-45.6,-6.199999999999999,11.5,15.4,26.9,0.5060000000000001,433.0,1269.0,2325.0,5287.0,2758.0,6556.0,1579.0,2211.0,1115.0,2392.0,3507.0,733.0,406.0,1371.0,7528.0,-11166.000000000002,-20943.0,7775.996,0.37962682803832576,0.43975789672782295,0.3412135539795114,0.4999442145137896,-0.5630862329803329,-1.0561270801815432,96.81074938824557,Washington,82,25,57
2005.0,ATL,19855.0,-37.300000000000004,-33.8,8.9,8.3,17.2,0.8989999999999999,304.0,973.0,2638.0,5699.0,2942.0,6672.0,1417.0,1994.0,1100.0,2335.0,3435.0,629.0,344.0,1255.0,7605.0,-24892.1,-25843.8,7696.384,0.38302694535381515,0.4628882260045622,0.31243576567317577,0.5036850805896129,-1.2536942835557794,-1.3016267942583732,98.81263720729112,Atlanta,82,13,69
2005.0,BOS,19880.0,-9.1,-3.0,24.900000000000002,19.2,43.699999999999996,1.363,437.0,1252.0,2609.0,5259.0,3046.0,6511.0,1775.0,2323.0,909.0,2438.0,3347.0,667.0,423.0,1259.0,8304.0,-5291.9,6839.700000000001,7873.8279999999995,0.41770623742454727,0.4961019205172086,0.3490415335463259,0.5511660507200205,-0.26619215291750503,0.34404929577464793,105.46331466727493,Boston,82,45,37
