season,team,min_tot,fgm,fga,fg_pct,fgm_3,fga_3,pct_3fg,fgm_2,fga_2,pct_2fg,ft,fta,ft_pct,ts_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,poss_tot,off_rtg,obpm_norm,dbpm_norm
1980.0,PHO,19755.0,3570.0,7235.0,0.4934346924671735,68.0,280.0,0.24285714285714285,3502.0,6955.0,0.5035226455787204,1906.0,2466.0,0.772911597729116,0.5477137129148417,1071.0,2458.0,3529.0,2283.0,908.0,344.0,1615.0,1853.0,9114.0,8864.04,102.81993312304546,0.036502151354087686,0.6803594026828651
1980.0,POR,19780.0,3408.0,7167.0,0.4755127668480536,26.0,132.0,0.19696969696969696,3382.0,7035.0,0.4807391613361763,1560.0,2100.0,0.7428571428571429,0.5192188851810654,1295.0,2408.0,3703.0,1898.0,708.0,472.0,1523.0,1956.0,8402.0,8319.0,100.99771607164323,-0.4535945399393328,0.24281092012133465
1980.0,SAS,19755.0,3856.0,7738.0,0.49831997932282246,52.0,206.0,0.2524271844660194,3804.0,7532.0,0.5050451407328731,2024.0,2528.0,0.8006329113924051,0.5529743557295104,1153.0,2515.0,3668.0,2326.0,771.0,333.0,1574.0,2103.0,9788.0,9271.32,105.57288498293663,0.8332422171602126,-0.867739812705644
1980.0,SDC,19755.0,3524.0,7494.0,0.470242860955431,177.0,543.0,0.3259668508287293,3347.0,6951.0,0.48151345130197093,1595.0,2167.0,0.7360406091370558,0.5220491791634903,1294.0,2308.0,3602.0,1688.0,664.0,288.0,1427.0,1896.0,8820.0,8580.48,102.79145222644887,0.1358440901037713,-1.0456441407238675
1980.0,SEA,19830.0,3554.0,7565.0,0.4697951090548579,59.0,189.0,0.31216931216931215,3495.0,7376.0,0.47383405639913234,1730.0,2253.0,0.7678650687971593,0.5199080913289825,1380.0,2550.0,3930.0,2043.0,750.0,428.0,1482.0,1865.0,8897.0,8658.32,102.75665487069085,0.06015128593040844,0.9194301563287948
1980.0,UTA,19805.0,3382.0,6817.0,0.49611265952765143,59.0,185.0,0.31891891891891894,3323.0,6632.0,0.5010554885404102,1571.0,1943.0,0.8085434894493052,0.5470599276321964,967.0,2359.0,3326.0,2005.0,656.0,362.0,1488.0,2006.0,8394.0,8192.92,102.45431421275931,-0.20252966422620547,-1.1749962130775056
1980.0,WSB,19880.0,3574.0,7796.0,0.4584402257567984,73.0,238.0,0.3067226890756303,3501.0,7558.0,0.46321778248213813,1552.0,2048.0,0.7578125,0.5043623636330187,1334.0,2723.0,4057.0,2201.0,530.0,443.0,1361.0,1893.0,8773.0,8724.12,100.56028573655566,-0.4421378269617707,-0.07310865191146888
1981.0,ATL,19930.0,3291.0,6866.0,0.479318380425284,10.0,82.0,0.12195121951219512,3281.0,6784.0,0.48363797169811323,2012.0,2590.0,0.7768339768339768,0.5373738383131808,1201.0,2224.0,3425.0,1846.0,749.0,469.0,1574.0,2276.0,8604.0,8378.6,102.69018690473348,-0.216392373306573,-0.35849974912192667
1981.0,BOS,19780.0,3581.0,7099.0,0.5044372446823496,65.0,241.0,0.2697095435684647,3516.0,6858.0,0.5126859142607174,1781.0,2369.0,0.7517940059096665,0.5532245226841708,1155.0,2424.0,3579.0,2202.0,683.0,594.0,1550.0,1990.0,9008.0,8536.36,105.52507157617532,0.7081193124368049,0.6887563195146613
1981.0,CHI,19780.0,3457.0,6903.0,0.5007967550340432,38.0,179.0,0.2122905027932961,3419.0,6724.0,0.5084770969660916,1985.0,2563.0,0.7744830277019118,0.5564258248326426,1227.0,2475.0,3702.0,1925.0,729.0,514.0,1648.0,2058.0,8937.0,8451.720000000001,105.7417898368616,0.5554044489383216,-0.0441708796764409
1981.0,CLE,19780.0,3556.0,7609.0,0.46734130634774607,72.0,249.0,0.2891566265060241,3484.0,7360.0,0.4733695652173913,1486.0,1909.0,0.7784180199057098,0.513080899897739,1258.0,2243.0,3501.0,2007.0,632.0,322.0,1366.0,1995.0,8670.0,8556.96,101.32102989846862,-0.19756825075834175,-0.7727805864509605
1981.0,DAL,19780.0,3204.0,6928.0,0.46247113163972287,46.0,165.0,0.2787878787878788,3158.0,6763.0,0.46695253585686824,1868.0,2487.0,0.7511057498994773,0.5186804748774663,1109.0,2177.0,3286.0,1984.0,561.0,214.0,1412.0,2008.0,8322.0,8325.279999999999,99.96060192570101,-0.731572295247725,-1.2398078867542972
1981.0,DEN,19955.0,3784.0,7960.0,0.47537688442211057,30.0,145.0,0.20689655172413793,3754.0,7815.0,0.4803582853486884,2388.0,3051.0,0.7826941986234022,0.5367408980869535,1325.0,2497.0,3822.0,2030.0,720.0,380.0,1432.0,2108.0,9986.0,9409.44,106.12746348348041,0.885582560761714,-1.0895765472312704
1981.0,DET,19755.0,3236.0,6986.0,0.46321213856284,13.0,84.0,0.15476190476190477,3223.0,6902.0,0.466966096783541,1689.0,2330.0,0.7248927038626609,0.5101607749151188,1201.0,2111.0,3312.0,1819.0,884.0,492.0,1729.0,2125.0,8174.0,8539.2,95.72325276372493,-1.6883118197924576,0.38371045304986084
1981.0,GSW,19730.0,3560.0,7284.0,0.4887424492037342,60.0,210.0,0.2857142857142857,3500.0,7074.0,0.49476957873904437,1826.0,2513.0,0.7266215678471946,0.5367282817543375,1403.0,2366.0,3769.0,2026.0,611.0,301.0,1519.0,2158.0,9006.0,8505.72,105.88168902808934,0.6904156107450583,-1.003679675620882
