Year,Tm,off_rat,POSS_TOT,wins_tot,losses_tot
2014.0,TOR,106.77579525789473,7777.98,48,34
2006.0,WAS,106.74512399132516,7809.256,42,40
2010.0,OKC,106.73938249689607,7796.5599999999995,50,32
2013.0,SAS,106.66531988232471,7920.1,58,24
2010.0,BOS,106.47486533599259,7641.24,50,32
2010.0,LAL,106.4535977716105,7833.46,57,25
2011.0,ORL,106.43676151728188,7643.036,52,30
2011.0,CHI,106.41506375166327,7599.488,62,20
2011.0,POR,106.39989435471483,7421.0599999999995,48,34
2009.0,HOU,106.37024648899101,7586.708,53,29
2009.0,NJN,106.34191225073636,7564.28,34,48
2016.0,HOU,106.3354352949424,8216.452,41,41
2015.0,NOP,106.26835923844706,7666.44,45,37
2007.0,LAL,106.19904663985415,7979.356,42,40
2017.0,MIA,106.17672425477996,7967.848,41,41
2014.0,NYK,106.17116620174097,7614.12,37,45
2014.0,MIN,106.15994021723074,8259.236,40,42
2006.0,LAL,106.15816290395824,7680.992,45,37
2013.0,LAL,106.1288559560056,7897.004,45,37
2011.0,GSW,106.12141682169047,7988.02,36,46
2013.0,BRK,106.05167375813811,7490.688,49,33
2009.0,IND,106.04181126354288,8126.04,36,46
2015.0,POR,106.02777125071259,7949.804,51,31
2009.0,CHI,105.94774290081834,7907.6720000000005,41,41
2010.0,GSW,105.93607739674142,8422.06,26,56
2016.0,CHO,105.89119196091156,8007.276,48,34
2009.0,MIA,105.88806471664138,7612.756,43,39
2010.0,NOH,105.88422603268036,7763.196,37,45
2010.0,NYK,105.88113896896328,7907.924,29,53
2009.0,NYK,105.87354572676846,8148.4,32,50
2006.0,SAS,105.86998188173796,7402.476,63,19
2011.0,UTA,105.84743117774839,7702.596,39,43
2006.0,CLE,105.80949952979432,7562.648,50,32
2005.0,SAS,105.80364088999534,7455.32,59,23
2007.0,TOR,105.71331409749315,7716.152,47,35
2015.0,CHI,105.70118830388536,7819.2119999999995,50,32
2014.0,GSW,105.69044580128663,8088.716,51,31
2014.0,NOP,105.68564743154279,7737.096,34,48
2010.0,MEM,105.68314773809895,7952.072,40,42
2005.0,LAL,105.68254868447094,7659.732,34,48
2011.0,DET,105.65629956584044,7525.344,30,52
2005.0,MIN,105.63849107651667,7510.52,44,38
2010.0,MIA,105.57749046280668,7495.916,47,35
2008.0,SAS,105.56919345136203,7407.464,56,26
2009.0,PHI,105.56191132746581,7566.176,41,41
2017.0,NYK,105.51608910707934,8108.716,31,51
2017.0,OKC,105.47504919594732,8287.268,47,35
2005.0,BOS,105.46331466727493,7873.8279999999995,45,37
2007.0,DEN,105.43383968588796,8193.764,45,37
2016.0,DAL,105.39918244010417,7958.316,42,40
2008.0,SAC,105.39521198878057,7977.592,38,44
2010.0,HOU,105.39078576959503,7965.592,42,40
2005.0,TOR,105.34538291462258,7763.036,33,49
2009.0,DET,105.31317004771871,7337.164,39,43
2017.0,CHI,105.30944371644081,8009.728,41,41
2007.0,SEA,105.28093304029062,7722.196,31,51
2017.0,MEM,105.27394480726909,7826.248,43,39
2015.0,OKC,105.26419782358491,8097.72,45,37
2017.0,SAC,105.22941510420333,8011.068,32,50
2011.0,BOS,105.20899534915878,7521.22,56,26
2016.0,MIA,105.19831498047598,7798.604,48,34
2007.0,MEM,105.12621202408653,7924.76,22,60
2011.0,MEM,105.12183871244154,7795.716,46,36
2016.0,MIN,105.12127625591009,7988.868,29,53
2014.0,BRK,105.10126876055696,7686.872,44,38
2007.0,GSW,105.07177880496455,8315.268,42,40
2008.0,POR,105.06973567034223,7442.676,41,41
2015.0,HOU,105.06734814550336,8110.988,56,26
2011.0,PHI,104.97753048990204,7734.036,41,41
2009.0,TOR,104.97135875671307,7736.396,33,49
2004.0,SEA,104.95585633646601,7587.952,37,45
2011.0,NOH,104.90435967640293,7420.092,46,36
2008.0,ATL,104.80194332523268,7684.972,37,45
2008.0,HOU,104.7310823787676,7572.728,55,27
2007.0,HOU,104.72719572884756,7594.016,52,30
2007.0,MIL,104.71977081593771,7803.684,28,54
2006.0,SAC,104.70936369879045,7741.428,44,38
2013.0,GSW,104.67631599932571,7925.384,47,35
2005.0,WAS,104.65378531509666,7874.536,45,37
2006.0,ATL,104.56107694236759,7624.252,26,56
2007.0,NJN,104.55122552696379,7652.708,41,41
2017.0,PHO,104.52960847619006,8448.324,24,58
2017.0,DAL,104.49017539877794,7683.976,33,49
2006.0,ORL,104.47239561215939,7450.772,36,46
2006.0,PHI,104.43693532011773,7800.88,38,44
2009.0,MIL,104.38177834140919,7800.2119999999995,34,48
2013.0,UTA,104.30849360263733,7705.988,43,39
2011.0,ATL,104.30603148622839,7468.408,44,38
2014.0,ATL,104.2947999181962,7940.952,38,44
2014.0,MEM,104.29432270600113,7559.376,50,32
2005.0,CLE,104.28438301173931,7588.864,42,40
2016.0,BOS,104.28189722080143,8313.044,48,34
2004.0,MIL,104.24403815910138,7711.7119999999995,41,41
2010.0,PHI,104.23646980966373,7688.2880000000005,27,55
2007.0,SAC,104.22749637595108,7966.228,33,49
2006.0,MEM,104.2113060028911,7252.572,49,33
2008.0,CLE,104.19803507002878,7584.596,45,37
2013.0,DAL,104.18755317422149,7959.684,41,41
2005.0,HOU,104.18426234976405,7482.896,51,31
2017.0,LAL,104.16783083581596,8231.908,26,56
2008.0,IND,104.16167866555783,8186.312,36,46
2005.0,MIL,104.11546644199072,7657.844,30,52
2005.0,DEN,104.10145178218727,7839.468,49,33
2011.0,TOR,104.0799760580183,7805.536,22,60
2016.0,UTA,104.06841231359282,7696.86,40,42
2016.0,SAC,104.05004688204629,8399.804,33,49
2006.0,MIL,104.01886347070221,7710.14,40,42
2014.0,WAS,103.99735911721942,7936.74,44,38
2005.0,NYK,103.98688073250982,7671.16,33,49
2014.0,DEN,103.97048448132102,8232.144,36,46
2016.0,DET,103.96124549575873,8042.42,44,38
2004.0,MIN,103.9283383744766,7459.948,58,24
2017.0,NOP,103.92702272644453,8232.7,34,48
2008.0,PHI,103.91184896728174,7624.732,40,42
2017.0,DET,103.89501914099112,7997.496,37,45
2015.0,UTA,103.86039543903617,7511.044,38,44
2007.0,NYK,103.79585896851275,7701.656,33,49
2006.0,LAC,103.79074535559204,7678.912,47,35
2005.0,DET,103.76386365485263,7375.4,54,28
2013.0,NOH,103.72049196374596,7437.296,27,55
2016.0,NOP,103.70817998115696,8121.8279999999995,30,52
